sp6,family,genus,species
APHECA,Acanthaceae,Aphelandra,campanensis
APHEGR,Acanthaceae,Aphelandra,gracilis
APHEDE,Acanthaceae,Aphelandra,scabra
APHESI,Acanthaceae,Aphelandra,sinclairiana
NA,Acanthaceae,Blechum,costaricense
BRAVIN,Acanthaceae,Bravaisia,integerrima
HERPPA,Acanthaceae,Herpetacanthus,panamensis
JUSTGR,Acanthaceae,Justicia,graciliflora
JUSTIS,Acanthaceae,Justicia,isthmensis
MENDGR,Acanthaceae,Mendoncia,gracilis
MENDLI,Acanthaceae,Mendoncia,litoralis
TRI1GI,Acanthaceae,Trichanthera,gigantea
SAURMO,Actinidiaceae,Saurauia,montana
SAURRU,Actinidiaceae,Saurauia,rubiformis
SAURLA,Actinidiaceae,Saurauia,yasicae
ANA1,Anacardiaceae,(anacardiaceae),sp.1
ANACEX,Anacardiaceae,Anacardium,excelsum
ANACOC,Anacardiaceae,Anacardium,occidentale
AST2GR,Anacardiaceae,Astronium,graveolens
CAMPPA,Anacardiaceae,Campnosperma,panamense
MANGIN,Anacardiaceae,Mangifera,indica
MOSQJA,Anacardiaceae,Mosquitoxylum,jamaicense
OCHOCO,Anacardiaceae,Ochoterenaea,colombiana
SPONCY,Anacardiaceae,Spondias,dulcis
SPONMO,Anacardiaceae,Spondias,mombin
SPONPU,Anacardiaceae,Spondias,purpurea
SPONRA,Anacardiaceae,Spondias,radlkoferi
TAPIGU,Anacardiaceae,Tapirira,guianensis
ANN1,Annonaceae,(annonaceae),sp.1
ANN2,Annonaceae,(annonaceae),sp.2
ANAXAL,Annonaceae,Anaxagorea,allenii
ANAXCR,Annonaceae,Anaxagorea,crassipetala
ANAXPA,Annonaceae,Anaxagorea,panamensis
ANNOAC,Annonaceae,Annona,acuminata
ANNOCH,Annonaceae,Annona,cherimola
ANNOGL,Annonaceae,Annona,glabra
ANNOHA,Annonaceae,Annona,hayesii
ANNOMO,Annonaceae,Annona,montana
ANNOMU,Annonaceae,Annona,muricata
ANNOPI,Annonaceae,Annona,pittieri
ANNOPU,Annonaceae,Annona,purpurea
ANNORE,Annonaceae,Annona,reticulata
ANNOSP,Annonaceae,Annona,spraguei
ANNOSQ,Annonaceae,Annona,squamosa
CANAOD,Annonaceae,Cananga,odorata
CREMPA,Annonaceae,Cremastosperma,panamense
CREM2,Annonaceae,Cremastosperma,sp.2
CREM4,Annonaceae,Cremastosperma,sp.4
CYM1CO,Annonaceae,Cymbopetalum,costaricense
CYM1LA,Annonaceae,Cymbopetalum,lanugipetalum
CYM1TO,Annonaceae,Cymbopetalum,torulosum
DES2BI,Annonaceae,Desmopsis,bibracteata
